ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM,TRIGGERED
1cf10a5a2aaa4879861358184fe3c4d3,cscw19-1-description-label,2019-03-23 10:57:21.633,A hospital is a health care institution providing patient treatment with specialized medical and nursing staff and medical equipment.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3HKX6MMLYJPWX,133,spam,"sentencestructure, bayes"
f86eb3fed4bc4e4ba92d444b98c4eebe,cscw19-1-image-label,2019-03-23 09:57:43.331,"A recipe is a set of instructions that describes how to prepare or make something, especially a culinary dish. It is also used in medicine or in information technology. ",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,A3QMED18F7JJWE,169,spam,"sentencestructure, bayes"
5b4f78521fd74827b432b7e31edbe8df,cscw19-1-description-label,2019-03-23 11:00:09.741,A house is a building that functions as a home. They can range from simple dwellings such as rudimentary huts of nomadic tribes and the improvised shacks in shantytowns to complex.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A2P2SUJ6F18W1B,180,spam,"sentencestructure, bayes"
d9797efe02934c44879b2882ab1b49c4,cscw19-1-description-label,2019-03-23 11:03:30.835,"A leaf is an organ of a vascular plant and is the principal lateral appendage of the stem. The leaves and stem together form the shoot. Leaves are collectively referred to as foliage, as in ""autumn foliage"".",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3HKX6MMLYJPWX,207,spam,"sentencestructure, bayes"
e42af9292dc840bbbba599327cd9641d,cscw19-1-description-label,2019-03-23 11:00:20.411,"A virus is a biological agent that reproduces inside the cells of living hosts. When infected by a virus, a host cell is forced to produce thousands of identical copies of the original virus at an extraordinary rate",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3HKX6MMLYJPWX,215,spam,"sentencestructure, bayes"
328ddce052c540feb452c887921d8443,cscw19-1-imageAndDescription-label,2019-03-23 11:01:38.17,"A forest is a large area dominated by trees. Hundreds of more precise definitions of forest are used throughout the world, incorporating factors such as tree density, tree height, land use, legal standing and ecological function",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AHDY3BLTTUYFG,228,spam,"sentencestructure, bayes"
37771ae2141a4b44ac0b36b68bbb4138,cscw19-1-image-label,2019-03-23 09:49:40.143,"A ball is a round object with various uses. It is used in ball games, where the play of the game follows the state of the ball as it is hit, kicked or thrown by players. Balls can also be used for simpler activities, such as catch or juggling. ",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,A3QMED18F7JJWE,244,spam,"sentencestructure, bayes"
32c11a523e0b4ebd8e8fce1443480cf4,cscw19-1-description-label,2019-03-23 10:46:09.77,"A bag is a common tool in the form of a non-rigid container. The use of bags predates recorded history, with the earliest bags being no more than lengths of animal skin, cotton, or woven plant fibers, folded up at the edges and secured in that shape with strings of the same material. ",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3HKX6MMLYJPWX,285,spam,"sentencestructure, bayes"
10b756a376ff459db54f5e2f64e2bb1f,cscw19-1-description-label,2019-03-23 10:42:53.244,"A car is a wheeled motor vehicle used for transportation. Most definitions of car say they run primarily on roads, seat one to eight people, have four tires, and mainly transport people rather than goods. Cars came into global use during the 20th century, and developed economies depend on them",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AGF9EJPNNZH5,294,spam,"sentencestructure, bayes"
6d7267f543184b6c8436c64eb2ebcc29,cscw19-1-description-label,2019-03-23 10:55:24.491,"A city is a large human settlement. Cities generally have extensive systems for housing, transportation, sanitation, utilities, land use, and communication. Their density facilitates interaction between people, government organizations and businesses, sometimes benefiting different parties in the process",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A1IV1O890FN1QA,305,spam,"sentencestructure, bayes"
e558d26678a74cff8bc54f2384850f65,cscw19-1-image-label,2019-03-23 10:29:05.613,"A dress is a garment consisting of a skirt with an attached bodice. It consists of a top piece that covers the torso and hangs down over the legs. A dress can be any one-piece garment containing a skirt of any length. Dresses can be formal or informal. In many cultures, dresses are more often worn by women and girls",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,AXHFWTX0LTTOP,317,spam,"sentencestructure, bayes"
