ID,DESCRIPTION,STATUS,CREATED,WORKER_ID,CHALLENGE
aa69791719604078b7c5638935276b80,t-shirts,unusable,2019-07-22 17:23:10.816,AVPW7AXI9AFSM,FABRIC_DISPLAY
bc8f888a5b5f4858b9e499f898ff6035,mugs,unusable,2019-07-22 17:23:17.338,AVPW7AXI9AFSM,FABRIC_DISPLAY
a4ef3584381b480fa4f8124deb39258c,"
flags",unusable,2019-07-22 17:23:21.858,AVPW7AXI9AFSM,FABRIC_DISPLAY
d00f3c8e9e0047b6b54cf620cd97ddbb,"
bumperstikers",unusable,2019-07-22 17:23:29.451,AVPW7AXI9AFSM,FABRIC_DISPLAY
eb30f4a9e2574b21be4f0bf8e9f5f8cc,"
pants",unusable,2019-07-22 17:23:33.745,AVPW7AXI9AFSM,FABRIC_DISPLAY
284c11dd48e540d4864896f121e18ff6,"
yoga pants",unusable,2019-07-22 17:23:37.628,AVPW7AXI9AFSM,FABRIC_DISPLAY
8b6e12bde69f40399dc0d38f032b8486,"
skirts",unusable,2019-07-22 17:23:41.203,AVPW7AXI9AFSM,FABRIC_DISPLAY
a448ea18d57743a58e37ecc37737d8b1,"
hats",unusable,2019-07-22 17:23:43.707,AVPW7AXI9AFSM,FABRIC_DISPLAY
88ea66cfb8b048509572e66dfbc704d2,"
gloves",unusable,2019-07-22 17:23:49.088,AVPW7AXI9AFSM,FABRIC_DISPLAY
4d4b7a3529bb4f62bf3e1caf84ce5c31,"
sports jerseys that you can edit",unusable,2019-07-22 17:24:00.024,AVPW7AXI9AFSM,FABRIC_DISPLAY
d903ca29c9134ad4a2f6294297dc3cbc,"
political shirts that you can edit",unusable,2019-07-22 17:24:10.67,AVPW7AXI9AFSM,FABRIC_DISPLAY
050626d05a4f46cd8ed6fcd63ed98189,"
phone cases that you can edit",unusable,2019-07-22 17:25:20.035,AVPW7AXI9AFSM,FABRIC_DISPLAY
b070eb3874a444828a254164da3f7103,"
flyers that you can edit",unusable,2019-07-22 17:25:27.654,AVPW7AXI9AFSM,FABRIC_DISPLAY
47d8f71319884542a9794b9abf3fee18,"
posters that you can edit",unusable,2019-07-22 17:25:34.382,AVPW7AXI9AFSM,FABRIC_DISPLAY
285e65f355d84a4eb687aeb5fc10c59b,"
backpacks that you can edit color and design",unusable,2019-07-22 17:25:49.463,AVPW7AXI9AFSM,FABRIC_DISPLAY
